iter	Logloss
0	0.673680017
1	0.654592515
2	0.6370075472
3	0.6207345763
4	0.6058148776
5	0.5905718268
6	0.5785900403
7	0.5658290146
8	0.5522640488
9	0.5396105448
10	0.5287357961
11	0.5187708153
12	0.5087459324
13	0.4983653399
14	0.4906369656
15	0.4822996091
16	0.4757684043
17	0.4680826459
18	0.4609709747
19	0.4540164601
20	0.4473175711
21	0.4417297361
22	0.4355298718
23	0.4301114494
24	0.423978669
25	0.4183054838
26	0.4124895526
27	0.4072539413
28	0.4021539165
29	0.3977684883
30	0.3938047067
31	0.3900844555
32	0.3868751823
33	0.3826791285
34	0.379307679
35	0.3756296666
36	0.372324468
37	0.3689996914
38	0.3660773243
39	0.3626864776
40	0.3599145256
41	0.3576649366
42	0.3549235753
43	0.3525488623
44	0.3500199323
45	0.3476955986
46	0.3456087723
47	0.3435303233
48	0.3415218299
49	0.3398715774
50	0.3381129199
51	0.3361696542
52	0.3346729319
53	0.333142316
54	0.3317487627
55	0.3300961295
56	0.3282702478
57	0.3269738885
58	0.3253861602
59	0.3240581864
60	0.3228831672
61	0.3218564628
62	0.3204912843
63	0.3194423723
64	0.3184200789
65	0.3173584008
66	0.3162536331
67	0.3152354037
68	0.3142475126
69	0.3132087408
70	0.3125337728
71	0.3116656133
72	0.3106638251
73	0.3097865085
74	0.3088397324
75	0.3080914404
76	0.3073500128
77	0.3069934499
78	0.3062764336
79	0.3054058014
80	0.3052297361
81	0.3042640323
82	0.3036264847
83	0.3032407698
84	0.3025735004
85	0.3018770836
86	0.3014142601
87	0.3009237317
88	0.300291811
89	0.2997836999
90	0.2993701352
91	0.2988624636
92	0.2982930352
93	0.2975997693
94	0.2972359492
95	0.2967330912
96	0.2962535662
97	0.2958890188
98	0.2954603206
99	0.2950174297
100	0.2945809982
101	0.2941781282
102	0.2939279278
103	0.2934312008
104	0.2930752457
105	0.2927306354
106	0.2922197899
107	0.2916738029
108	0.2911824258
109	0.2907959038
110	0.290397744
111	0.2899183583
112	0.2895636694
113	0.2891605034
114	0.2888554437
115	0.2883915798
116	0.2880569197
117	0.2877823609
118	0.2874783576
119	0.2871091899
120	0.286851867
121	0.2865215925
122	0.2862046868
123	0.2860898953
124	0.2857352557
125	0.2855225126
126	0.2851200506
127	0.2847677031
128	0.2844227619
129	0.2842572887
130	0.2839266137
131	0.2837049437
132	0.2834285439
133	0.2831795863
134	0.2829325318
135	0.2827211753
136	0.2825672978
137	0.2823901184
138	0.2820193208
139	0.2817924744
140	0.281617063
141	0.2813230572
142	0.2812056293
143	0.2809936006
144	0.2807988676
145	0.2805609962
146	0.2804332802
147	0.2801286689
148	0.2799599887
149	0.2798112967
150	0.2795284476
151	0.2792945246
152	0.2791285199
153	0.2789323647
154	0.278839976
155	0.278649197
156	0.2784570506
157	0.2783089489
158	0.2781351376
159	0.2779574294
160	0.277825423
161	0.2776511315
162	0.2774006974
163	0.2772285746
164	0.277052993
165	0.2769173622
166	0.2766107268
167	0.2763670287
168	0.276237106
169	0.2760523199
170	0.2758149537
171	0.2757036144
172	0.2754976697
173	0.2753228068
174	0.2751791702
175	0.275073376
176	0.274917658
177	0.2746906919
178	0.2745866366
179	0.2742608767
180	0.2740972119
181	0.2739581584
182	0.2738577231
183	0.2737996271
184	0.2736934959
185	0.2734812919
186	0.2732365953
187	0.2730939645
188	0.2729758557
189	0.272894045
190	0.2727670614
191	0.2726965402
192	0.2725503154
193	0.2724150552
194	0.2722964097
195	0.2721482343
196	0.2720738328
197	0.2719944721
198	0.2718285255
199	0.2717071876
200	0.2715349397
201	0.2713014905
202	0.271186735
203	0.2711046314
204	0.2710100706
205	0.2708407358
206	0.2707132651
207	0.2705836517
208	0.2704457295
209	0.2703495115
210	0.2702339207
211	0.2701410699
212	0.2700154142
213	0.2699331923
214	0.2698744677
215	0.2697707039
216	0.2696687237
217	0.2695773078
218	0.2695125888
219	0.2693320778
220	0.2691872841
221	0.2691023344
222	0.268940482
223	0.2688620814
224	0.2688049978
225	0.2686728189
226	0.2686299195
227	0.2685319188
228	0.2684243836
229	0.2683387981
230	0.2681875458
231	0.2680040542
232	0.2678164393
233	0.2677410428
234	0.2676330193
235	0.2675505373
236	0.2674559303
237	0.2673422471
238	0.2672439823
239	0.2671664115
240	0.2670700898
241	0.2669873351
242	0.266817168
243	0.2667134176
244	0.2666566062
245	0.2665164863
246	0.2663796589
247	0.2662317546
248	0.2661174697
249	0.2659889683
250	0.2658995258
251	0.2657900027
252	0.2656581732
253	0.265533407
254	0.2654459763
255	0.2653281312
256	0.2652236388
257	0.2651781284
258	0.265025367
259	0.2649543833
260	0.2648712662
261	0.2647081071
262	0.2646840135
263	0.2646260447
264	0.2645852469
265	0.2645327999
266	0.2643411723
267	0.2642086222
268	0.2641564556
269	0.264100121
270	0.2640111984
271	0.2638077878
272	0.263760027
273	0.2636675546
274	0.2636216299
275	0.2635650516
276	0.2634473596
277	0.2633781085
278	0.2632847396
279	0.2631598521
280	0.2631123971
281	0.2629437339
282	0.2628637752
283	0.2627311382
284	0.2626193264
285	0.2624439266
286	0.2623576115
287	0.2622974848
288	0.2622319976
289	0.2621875951
290	0.2620599503
291	0.2619770055
292	0.2619190902
293	0.2618822029
294	0.2617405827
295	0.2616706641
296	0.2616252368
297	0.2615395762
298	0.2613895245
299	0.261268044
300	0.26111186
301	0.2610628776
302	0.2609845321
303	0.2609085067
304	0.2608417897
305	0.2607144758
306	0.260551859
307	0.260471608
308	0.2603280648
309	0.2602602871
310	0.2602254858
311	0.2601717667
312	0.2601313375
313	0.2600335434
314	0.2598769418
315	0.2597082677
316	0.2596214565
317	0.2594626345
318	0.2593749106
319	0.259269644
320	0.2591583886
321	0.2590553415
322	0.2589256229
323	0.2588858952
324	0.2588735062
325	0.2588012968
326	0.2587322293
327	0.2586136077
328	0.2584907391
329	0.2584714696
330	0.2584153102
331	0.2583849487
332	0.258324209
333	0.2582144431
334	0.2581135196
335	0.2580085653
336	0.2579894591
337	0.2579222659
338	0.2578229071
339	0.2577352652
340	0.2577216859
341	0.2576157317
342	0.2575427346
343	0.2574668931
344	0.2574084671
345	0.2573411815
346	0.2572831949
347	0.2571640307
348	0.257100214
349	0.2570169841
350	0.2569230758
351	0.2568241759
352	0.2567847629
353	0.2566995243
354	0.2566158812
355	0.2565305401
356	0.2564977069
357	0.2564607441
358	0.2563407704
359	0.2562291816
360	0.2561291603
361	0.2560955891
362	0.2560116123
363	0.2559400647
364	0.2558888401
365	0.255752518
366	0.255698945
367	0.2555296164
368	0.2554852729
369	0.255460516
370	0.2553390261
371	0.2552517342
372	0.2550734187
373	0.2549720359
374	0.2548985159
375	0.2548175511
376	0.2547810774
377	0.2547181625
378	0.2545632369
379	0.2545374937
380	0.2543794818
381	0.2543209694
382	0.2541960724
383	0.2540708432
384	0.253946403
385	0.2538420936
386	0.2537984603
387	0.2537596933
388	0.2536771702
389	0.2536221751
390	0.2535257741
391	0.253383808
392	0.2533273126
393	0.2532759896
394	0.2532410384
395	0.2531217724
396	0.2530496864
397	0.2528957347
398	0.2527759527
399	0.2527187512
400	0.2526020561
401	0.2524192182
402	0.2523218167
403	0.2522636281
404	0.252199316
405	0.252158377
406	0.2520395365
407	0.2519626025
408	0.2518987442
409	0.251732673
410	0.2515894037
411	0.2515091666
412	0.2514342793
413	0.2512257495
414	0.2511713265
415	0.2510809423
416	0.2509944518
417	0.2509194008
418	0.2507757117
419	0.2507162011
420	0.2506281486
421	0.2505852951
422	0.2504596718
423	0.2503513667
424	0.2502637267
425	0.2502178454
426	0.2500952481
427	0.2500519721
428	0.249938716
429	0.2498118925
430	0.2497501257
431	0.2496708547
432	0.2496065041
433	0.2495235819
434	0.2493840131
435	0.2492429661
436	0.2491839794
437	0.2490421196
438	0.2489986124
439	0.2489241564
440	0.2488865344
441	0.2487176792
442	0.2486994307
443	0.2485559033
444	0.2484458242
445	0.2483736072
446	0.2482521766
447	0.2481483337
448	0.2480214934
449	0.2479891345
450	0.2479039855
451	0.247803302
452	0.2477524213
453	0.2476658867
454	0.247548221
455	0.2474720124
456	0.2474401398
457	0.2473904278
458	0.2473432701
459	0.247266773
460	0.2471540128
461	0.2470758279
462	0.2469788179
463	0.2469343808
464	0.2468325146
465	0.2467264196
466	0.2466294753
467	0.2465414314
468	0.2464840088
469	0.2463489116
470	0.2463205335
471	0.2462955764
472	0.2462560379
473	0.2461787512
474	0.2460978946
475	0.2460007759
476	0.2458632693
477	0.2457664355
478	0.2456597071
479	0.2455863007
480	0.2454100346
481	0.2453823559
482	0.2453050326
483	0.2452104867
484	0.2450145554
485	0.2448337137
486	0.2446604434
